assetid,id
DL-BE-18796,9f22be50-0752-5d55-834c-74e4026bb08b
DL-BE-18797,cd8917f6-3c65-5d4a-9831-92b961fcb7e1
DL-BE-18798,525b93b8-4f66-59dd-9c22-c7bf8b5075fa
DL-BE-18852,ea3e3e27-ea94-5538-8562-296e4c65d226
DL-BE-18907,7612c5aa-68d4-52ec-9038-c400223b1a89
DL-BE-18908,150866e7-2ef0-5d49-a7dc-5507656ae22f
DL-BE-19045,67a78e1a-5500-5228-8bf6-21289680fd30
DL-BE-19047,3d319ef9-b948-5e13-9322-e2551a5542a6
DL-BE-19048,0ab5c5dd-691e-5e74-aa65-9a320aaa69bd
DL-BE-19049,7937abb3-7cf2-5edc-a1f4-8cd55697e6af
DL-BE-19051,5c634718-4a10-5735-9793-6492ddb48723
DL-BE-19059,df187d86-fc75-59dc-b530-9360db4f1572
DL-BE-19060,98e9c334-9f7b-5d34-a2c3-e4c1243881e0
DL-BE-19743,cccfefc4-3bf6-5f3b-a5f2-6a5d420c02c9
DL-BE-20227,8bd2b211-4c77-5ec7-acf9-b59851e3a7ee
DL-BE-20231,6690ee7d-335a-5ba5-8c3b-1d0c8175918c
DL-BE-20232,533b180c-8caf-5e9f-9d03-6105413eefd2
DL-BE-20233,21660b10-9c01-5bbc-946d-6fb3d643cdc8
DL-BE-20237,9101ac69-e5dd-545f-b278-ff521da93705
DL-BE-20239,bcf65029-3116-5224-b144-1b7452e9e545
DL-BE-20240,96f0f558-42d7-55bf-84dd-5c3964c01558
DL-BE-20241,2d972641-74e6-513c-9717-c80a11965f5c
DL-BE-20266,c18d3fd6-4f5c-50d4-bbc8-3e51543a7962
DL-BE-20273,6286b0d9-8d91-5240-856d-c96b645ecae8
DL-BE-20278,05d0ec1b-b63c-5b0b-8dea-d18da11efa34
DL-BE-20280,b62f5350-abd6-59b9-97ea-b223535a87ce
DL-BE-20281,852997a3-0422-5d05-b9b4-f936d4eb8d4e
DL-BE-20588,06021f06-3efc-58d1-977f-9b86b184101d
DL-BE-20590,7df9dda9-d6ca-5eff-9af4-486732ca7175
DL-BE-20591,0e7f2e55-f35f-545e-8e3b-86dc73941ea2
DL-BE-20593,388bf68f-9641-56c6-a8e2-a93dc874bc6d
DL-BE-20594,d1539342-d7b5-50f4-bcfd-55e0b7415c01
DL-BE-20599,045a0bb7-3acf-5300-9e51-e2163557f84b
DL-BE-20600,daaa7f98-c380-52a9-996e-9752e57e31ef
DL-BE-20601,9350af6e-8958-5023-b3bf-bbcdd8c9875c
DL-BE-20613,ab8896bc-f7f2-5b36-ade6-e95f0bb6d27b
DL-BE-20614,5f6ee3e6-97d7-518b-bde5-a9839a9a65b9
DL-BE-20617,352ed445-4c9d-5c9e-a7e6-d60df17d6c33
DL-BE-20620,2a2dd463-4f0d-53ed-a068-23cdc555cbe6
DL-BE-20622,b30b9b97-3424-5c23-87e8-b3d7e3d6d8c8
DL-BE-20710,28dafcff-c92a-5393-a085-851290427610
DL-BE-20714,82e27ff8-ea8c-5ce3-815e-1bbc719ed5af
DL-BE-20715,6b10bb6a-5a52-532c-a9fd-e9758c8d4d22
DL-BE-20716,36ca45b2-ab55-543b-8480-fd6b24ae8940
DL-BE-20717,b6ca66e3-1374-5eac-8b1f-258eaa32c4ab
DL-BE-20744,58c47ccf-0172-5e9d-8e4e-a6e6572e3cea
DL-BE-20745,9732341b-2037-5012-b1f6-faf79dc3158a
DL-BE-20750,cdd67b74-342c-5581-a0c4-3eaefb037faf
DL-BE-20909,da6a9c9c-f5ba-5d21-a4ad-39ac6a3f1770
DL-BE-20910,8b50ccc0-fb35-54b8-920a-b8d9ca72971e
DL-BE-20913,109e65a4-4f9e-5c93-9511-a9ec4caa1dd5
DL-BE-20914,40d07315-dad6-5377-8af2-f8630a21bb76
DL-BE-20916,b0a2b573-d2bf-5b33-8a3a-60659ddb9158
DL-BE-21022,13b03960-ec93-5154-a0f5-15f0a7bdb3cf
DL-BE-21026,5f8495a1-d7fb-5824-ba3b-aeb1331cc9c7
DL-BE-21027,3129ff78-3d1e-5177-b348-cdec8e224401
DL-BE-21043,3ec9ad71-de9a-5d60-80e7-9edeb2c5005b
DL-BE-21044,b2f2f7fc-e29c-55e4-b5ff-ca64c3e4d97b
DL-BE-21045,fb6395be-abfc-5ef3-bc42-f6a70e34869a
DL-BE-21066,419c8179-0e47-50d4-a342-2dcc49711021
DL-BE-21514,96f83b18-cc00-587c-9e4b-d111fffc50ec
DL-BE-21515,5347c814-4082-5a77-b134-dabb07b37cb3
DL-BE-21517,fd53e54e-0d7c-5a9d-bf18-593183b37e6e
DL-BE-21519,74ff5e10-4b3a-53df-99e7-d944bdae9163
DL-BE-21639,3d2baafc-ac73-57b2-a5af-0064e33b7b0a
DL-BE-21706,30776e53-abbb-56a9-bef5-7fa160213412
DL-BE-21707,2ffe5e0d-62c0-5794-8025-328b38cf942d
DL-BE-22113,18b5a284-6212-554c-89bc-0160bdbaf0ca
DL-BE-22114,cb13ef21-5dbc-5001-91b9-982e35e8694b
DL-BE-22118,1724f7cd-1f4d-5788-9cba-821083755df8
DL-BE-6091,778e71b7-d333-59e1-9c97-2d0248b31c12
DL-D10-106789,7c8c3727-e1e1-53a0-8dea-34d184bfe8a7
DL-D10-106930,7fd622e8-89ab-5d0d-85e7-8c4c5ff98220
DL-D10-106932,3c6493ca-9b45-5248-bc8e-9bbb1c62f9ad
DL-D10-106941,eebe89d1-2f75-5cc5-b90e-a9458a4fbe86
DL-D10-106942,f327f3c1-3041-545f-a5b3-d6e84ffe056e
DL-D10-106943,f7d568c2-5e07-5f82-82aa-d719448fdc84
DL-D10-106944,0ec92f07-c963-5bb9-b6dd-85d8755db378
DL-D10-106948,ed610997-3598-5c78-bb97-d0c21ed82609
DL-D10-107243,9907ad28-270d-5f3c-a510-f66f85d32d3f
DL-D10-107245,cc112189-dd92-5bb5-ada3-df790be7eba2
DL-D10-107246,a6168f25-b8ed-512d-b714-59340dcc36a2
DL-D10-107247,519fef24-c0de-5359-86e5-f37018a63f19
DL-D10-107270,6b99f212-d039-5b48-b47d-cd4ac6f7ab0f
DL-D10-107273,199f2e9a-1d68-57b6-a48a-54130456b0b2
DL-D10-107500,71e52ca3-e641-5e29-9919-99af4538e70d
DL-D10-108051,a63e11fd-d66b-5f13-9abd-635986f7aa27
DL-D10-108052,a538c8ff-f63a-5750-9723-7945bc2f9a4d
DL-D10-108860,b8b1a3e7-d007-55c2-8da8-49b4cc344009
DL-D10-109245,87633a77-8c6a-5300-bbcc-cf1bd8e4f62f
DL-D10-109246,a268d342-d5c6-5cd1-816f-fe0636b98beb
DL-D10-109247,84604120-52f1-5cfe-ab92-7934e2ac68cd
DL-D10-109248,c6b64f84-a5ff-5d0e-99f8-3dface6fc35d
DL-D10-109251,c702033d-b5e0-52a3-b65e-f6d6d20fefc4
DL-D10-109252,2dbcf27a-b261-5443-8a80-7ddcbfb87595
DL-D10-109253,6fdc6a16-cd07-5ac7-b473-3c661647cdc7
